210.8 29.211 146.555
210.2 28.559 145.574
208.4 27.972 144.672
202.5 24.697 139.264
200.6 23.726 137.522
200.1 23.369 136.864
199.5 23.03 136.229
197 21.892 134.029
196.4 21.928 134.1
196.3 21.654 133.554
195.6 21.605 133.455
193.4 20.48 131.133
193.6 20.212 130.561
191.4 19.758 129.574
191.1 19.49 128.981
190.6 19.386 128.749
189.5 18.869 127.575
188.8 18.356 126.378
188.5 18.507 126.734
185.7 17.267 123.722
186 17.221 123.606
185.6 17.062 123.203
184.1 16.959 122.94
184.6 16.881 122.74
184.1 16.817 122.575
183.2 16.385 121.445
182.4 16.235 121.045
181.9 16.106 120.699
181.9 15.928 120.216
181 15.919 120.192
180.6 15.376 118.684
